㓦划	㓦劃
万万岁	萬萬歲
万丈	萬丈
万丈光芒	萬丈光芒
万丈深渊	萬丈深淵
万丈竿头	萬丈竿頭
万丈红尘	萬丈紅塵
万丈高楼平地起	萬丈高樓平地起
万不及一	萬不及一
万不可失	萬不可失
万不失一	萬不失一
万不得已	萬不得已
万世	萬世
万世一时	萬世一時
万世师表	萬世師表
万个	萬個
万丰	萬豐
万丹	萬丹
万丹乡	萬丹鄉
万乘	萬乘
万乘之国	萬乘之國
万乘之尊	萬乘之尊
万事	萬事
万事亨通	萬事亨通
万事俱备只欠东风	萬事俱備只欠東風
万事具备	萬事具備
万事大吉	萬事大吉
万事如意	萬事如意
万事得	萬事得
万事皆从急中错	萬事皆從急中錯
万事皆休	萬事皆休
万事皆备	萬事皆備
万事起头难	萬事起頭難
万事达	萬事達
万事达卡	萬事達卡
万事通	萬事通
万人	萬人
万人之敌	萬人之敵
万人之敵	萬人之敵
万人坑	萬人坑
万人敌	萬人敵
万人空巷	萬人空巷
万人迷	萬人迷
万仞	萬仞
万代	萬代
万代一时	萬代一時
万代兰	萬代蘭
万代千秋	萬代千秋
万份	萬份
万众	萬衆
万众一心	萬衆一心
万众欢腾	萬衆歡騰
万众瞩目	萬衆矚目
万位	萬位
万余	萬餘
万余只	萬餘隻
万余里	萬餘里
万俟	万俟
万倍	萬倍
万儿	萬兒
万儿八千	萬兒八千
万元	萬元
万元户	萬元戶
万全	萬全
万全之策	萬全之策
万全之计	萬全之計
万全县	萬全縣
万全街	萬全街
万兽之王	萬獸之王
万几	萬幾
万分	萬分
万分之一	萬分之一
万分感激	萬分感激
万分痛苦	萬分痛苦
万别千差	萬別千差
万剐千刀	萬剮千刀
万劫	萬劫
万劫不复	萬劫不復
万千	萬千
万华	萬華
万华区	萬華區
万华站	萬華站
万博宣伟	萬博宣偉
万博省	萬博省
万卷	萬卷
万卷书	萬卷書
万历	萬曆
万县	萬縣
万县地区	萬縣地區
万县市	萬縣市
万县港	萬縣港
万变不离其宗	萬變不離其宗
万古	萬古
万古不灭	萬古不滅
万古千秋	萬古千秋
万古流芳	萬古流芳
万古留芳	萬古留芳
万古长新	萬古長新
万古长春	萬古長春
万古长青	萬古長青
万只	萬隻
万叶	萬葉
万名	萬名
万向节	萬向節
万国	萬國
万国公报	萬國公報
万国公法	萬國公法
万国宫	萬國宮
万国旗	萬國旗
万国码	萬國碼
万国邮联	萬國郵聯
万国音标	萬國音標
万圆	萬圓
万圣节	萬聖節
万坛	萬罈
万境归空	萬境歸空
万壑	萬壑
万壑争流	萬壑爭流
万天后	萬天後
万夫	萬夫
万夫不当	萬夫不當
万夫莫当	萬夫莫當
万夫莫敌	萬夫莫敵
万头攒动	萬頭攢動
万姓	萬姓
万姓统谱	萬姓統譜
万字	萬字
万宁市	萬寧市
万安	萬安
万安县	萬安縣
万宝华	萬寶華
万宝囊	萬寶囊
万宝常	萬寶常
万宝路	萬寶路
万家	萬家
万家乐	萬家樂
万家灯火	萬家燈火
万家生佛	萬家生佛
万家香	萬家香
万寿	萬壽
万寿千秋	萬壽千秋
万寿山	萬壽山
万寿无疆	萬壽無疆
万寿果	萬壽果
万寿菊	萬壽菊
万山	萬山
万山特区	萬山特區
万山镇	萬山鎮
万岁	萬歲
万岁千秋	萬歲千秋
万岁爷	萬歲爺
万峦	萬巒
万峦乡	萬巒鄉
万州区	萬州區
万年	萬年
万年历	萬年曆
万年历表	萬年曆錶
万年县	萬年縣
万年青	萬年青
万幸	萬幸
万念	萬念
万念俱灰	萬念俱灰
万急	萬急
万恩市	萬恩市
万恶	萬惡
万恶之源	萬惡之源
万恶之首	萬惡之首
万恶淫为首	萬惡淫爲首
万恶滔天	萬惡滔天
万户	萬戶
万户侯	萬戶侯
万户千门	萬戶千門
万扎	萬紮
万把	萬把
万把块	萬把塊
万斛泉源	萬斛泉源
万斤	萬斤
万斯同	萬斯同
万方	萬方
万旗	万旗
万无	萬無
万无一失	萬無一失
万无失一	萬無失一
万智牌	萬智牌
万有	萬有
万有引力	萬有引力
万有引力定律	萬有引力定律
万望	萬望
万机	萬機
万杞良	萬杞良
万柏林	萬柏林
万柏林区	萬柏林區
万桶	萬桶
万步	萬步
万步表	萬步表
万死	萬死
万死一生	萬死一生
万死不辞	萬死不辭
万段	萬段
万毒枯	萬毒枯
万民伞	萬民傘
万水千山	萬水千山
万沙浪	萬沙浪
万泉河	萬泉河
万法唯识	萬法唯識
万泰银	萬泰銀
万洋山	萬洋山
万源市	萬源市
万灵丹	萬靈丹
万灵节	萬靈節
万灵药	萬靈藥
万点	萬點
万点大关	萬點大關
万物	萬物
万物之灵	萬物之靈
万状	萬狀
万用	萬用
万用字元	萬用字元
万用手冊	萬用手冊
万用电表	萬用電表
万用表	萬用表
万盛	萬盛
万盛区	萬盛區
万盛溪	萬盛溪
万目睽睽	萬目睽睽
万石	萬石
万福	萬福
万福玛丽亚	萬福瑪麗亞
万秀区	萬秀區
万种	萬種
万种风情	萬種風情
万窍	萬竅
万端	萬端
万签插架	萬籤插架
万箭攒心	萬箭攢心
万箭穿心	萬箭穿心
万箭穿身	萬箭穿身
万箱	萬箱
万籁	萬籟
万籁俱寂	萬籟俱寂
万籁无声	萬籟無聲
万籤插架	萬籤插架
万米	萬米
万米长跑	萬米長跑
万紫千红	萬紫千紅
万红千紫	萬紅千紫
万绪千头	萬緒千頭
万绪千端	萬緒千端
万维网	萬維網
万绿丛中	萬綠叢中
万缕千丝	萬縷千絲
万缘	萬緣
万能	萬能
万能工专	萬能工專
万能曲尺	萬能曲尺
万能梗	萬能梗
万能梗犬	萬能梗犬
万能胶	萬能膠
万能选手	萬能選手
万能钥匙	萬能鑰匙
万能锅	萬能鍋
万般	萬般
万般皆下品	萬般皆下品
万般皆是命	萬般皆是命
万艾可	萬艾可
万花争艳	萬花爭豔
万花筒	萬花筒
万苦千辛	萬苦千辛
万荣乡	萬榮鄉
万荣县	萬榮縣
万虑俱清	萬慮俱清
万言	萬言
万言书	萬言書
万语千言	萬語千言
万象	萬象
万象包罗	萬象包羅
万象更新	萬象更新
万象森罗	萬象森羅
万贯	萬貫
万贯家产	萬貫家產
万贯家私	萬貫家私
万贯家财	萬貫家財
万载千秋	萬載千秋
万载县	萬載縣
万道	萬道
万那杜	萬那杜
万邦	萬邦
万部	萬部
万里	萬里
万里之望	萬里之望
万里乡	萬里鄉
万里侯	萬里侯
万里同风	萬里同風
万里封侯	萬里封侯
万里无云	萬里無雲
万里春愁直	萬裏春愁直
万里晴空	萬里晴空
万里江山	萬里江山
万里迢迢	萬里迢迢
万里追踪	萬里追蹤
万里长城	萬里長城
万里长征	萬里長征
万里长江	萬里長江
万里长空	萬里長空
万里鹏程	萬里鵬程
万里鹏翼	萬里鵬翼
万重	萬重
万重山	萬重山
万金	萬金
万金不换	萬金不換
万金之躯	萬金之軀
万金油	萬金油
万钧	萬鈞
万钧之力	萬鈞之力
万锺	萬鍾
万难	萬難
万顷	萬頃
万顷琉璃	萬頃琉璃
万顷碧波	萬頃碧波
万馀	萬餘
万马	萬馬
万马千军	萬馬千軍
万马奔腾	萬馬奔騰
万马皆瘖	萬馬皆瘖
万马齐喑	萬馬齊喑
万马齐瘖	萬馬齊瘖
万鸦老	萬鴉老
万齐融	萬齊融
丈余	丈餘
丈八灯台	丈八燈臺
丈母娘	丈母孃
三万	三萬
三个	三個
三个鼻子管	三個鼻子管
三丰	三豐
三仙台	三仙臺
三代同堂	三代同堂
三余	三餘
三元合金	三元合金
三元里	三元里
三克	三克
三党	三黨
三八制	三八制
三冬	三冬
三冬两夏	三冬兩夏
三准	三準
三出祁山	三出祁山
三分钟	三分鐘
三只	三隻
三只手	三隻手
三台	三臺
三台县	三臺縣
三台联播	三臺聯播
三叶期	三葉期
三叶松	三葉松
三叶草	三葉草
三叶虫	三葉蟲
三叹	三嘆
三合会	三合會
三合土	三合土
三合房	三合房
三合星	三合星
三合板	三合板
三合院	三合院
三同	三同
三向	三向
三周	三週
三周年	三週年
三呼万岁	三呼萬歲
三回两转	三回兩轉
三回九曲	三回九曲
三回九转	三回九轉
三回五次	三回五次
三回五转	三回五轉
三国志	三國志
三坛大戒	三壇大戒
三复	三複
三复斯言	三復斯言
三复白圭	三復白圭
三大发明	三大發明
三大差别	三大差別
三天后	三天後
三头两面	三頭兩面
三头马车制	三頭馬車制
三夹板	三夾板
三娘教子	三孃教子
三对三斗牛	三對三鬥牛
三对六面	三對六面
三尸	三尸
三尸神	三尸神
三年制	三年制
三弦	三絃
三征七辟	三徵七辟
三思台	三思臺
三思而后	三思而後
三思而后行	三思而後行
三恶道	三惡道
三战两胜	三戰兩勝
三才	三才
三才图会	三才圖會
三扎	三紮
三折肱	三折肱
三折肱为良医	三折肱爲良醫
三振出局	三振出局
三方面	三方面
三日不读书面目可憎	三日不讀書面目可憎
三星集团	三星集團
三月里的桃花	三月裏的桃花
三杆	三杆
三杠	三槓
三杯	三杯
三杯和万事	三杯和萬事
三杯鸡	三杯雞
三板	三板
三极	三極
三极真空	三極真空
三极管	三極管
三次曲线	三次曲線
三段制	三段制
三江并流	三江並流
三浴三熏	三浴三熏
三涂	三塗
三点钟	三點鐘
三熏三沐	三熏三沐
三班制	三班制
三瓦两舍	三瓦兩舍
三瓦四舍	三瓦四舍
三生有幸	三生有幸
三用表	三用表
三番四复	三番四復
三百万	三百萬
三百个	三百個
三百千千	三百千千
三百多万	三百多萬
三百馀万	三百餘萬
三秋	三秋
三秒钟	三秒鐘
三穗	三穗
三穗县	三穗縣
三级三审制	三級三審制
三结合	三結合
三统历	三統曆
三统历史	三統歷史
三胜制	三勝制
三脚采茶戏	三腳採茶戲
三舍	三舍
三苏	三蘇
三表	三表
三角关系	三角關係
三角套汇	三角套匯
三角巾包扎法	三角巾包紮法
三角板	三角板
三角表	三角表
三辟	三辟
三连胜	三連勝
三部合唱	三部合唱
三部曲	三部曲
三里屯	三里屯
三里河	三里河
三针	三針
三长制	三長制
三门干部	三門幹部
三青团	三青團
三面	三面
三面亚当	三面亞當
三面体	三面體
三面夏娃	三面夏娃
三面红旗	三面紅旗
三面网	三面網
三面角	三面角
三马同槽	三馬同槽
三鹿集团	三鹿集團
上一个	上一個
上万	上萬
上上个月	上上個月
上下五千年	上下五千年
上下交困	上下交困
上下同心	上下同心
上下游	上下游
上不了	上不了
上不了台面	上不了檯面
上不得台盘	上不得檯盤
上个星期	上個星期
上个月	上個月
上中下游	上中下游
上了	上了
上了岁数	上了歲數
上了年纪	上了年紀
上党	上黨
上党梆子	上黨梆子
上冲	上衝
上冲下洗	上沖下洗
上千	上千
上千万	上千萬
上千人	上千人
上升	上升
上升为	上升爲
上升趋势	上升趨勢
上半叶	上半葉
上发条	上發條
上台	上臺
上台演唱	上臺演唱
上台演奏	上臺演奏
上台演讲	上臺演講
上叶	上葉
上合屋	上閤屋
上合组织	上合組織
上吊	上吊
上吊自杀	上吊自殺
上同调	上同調
上周	上週
上回	上回
上复	上覆
上夸克	上夸克
上层建筑	上層建築
上市柜	上市櫃
上弦	上弦
上当	上當
上彩	上彩
上搜	上搜
上杠	上槓
上柜	上櫃
上栗县	上栗縣
上梁	上樑
上梁不正	上樑不正
上梁不正下梁歪	上樑不正下樑歪
上梁山	上梁山
上梁文	上梁文
上游	上游
上游工业	上游工業
上百万	上百萬
上确界	上確界
上签	上籤
上签写	上簽寫
上签名	上簽名
上签字	上簽字
上签收	上簽收
上舍	上舍
上花台	上花臺
上药	上藥
上药膏	上藥膏
上蜡	上蠟
上表	上表
上课钟	上課鐘
上野树里	上野樹里
上链	上鍊
上面	上面
上马杯	上馬杯
下一个	下一個
下三面	下三面
下下个月	下下個月
下不了	下不了
下不了台	下不了臺
下不来台	下不來臺
下个星期	下個星期
下个月	下個月
下了	下了
下于	下於
下仑路	下崙路
下冲	下衝
下出	下出
下划线	下劃線
下厂	下廠
下发	下發
下台	下臺
下台阶	下臺階
下叶	下葉
下同	下同
下向	下向
下周	下週
下咽	下嚥
下回	下回
下城里	下城裏
下夸克	下夸克
下弦	下弦
下彩	下彩
下得了	下得了
下手干	下手幹
下才	下才
下摆	下襬
下有苏杭	下有蘇杭
下板儿	下板兒
下梁	下樑
下水道系统	下水道系統
下注	下注
下注解	下註解
下游	下游
下游工业	下游工業
下确界	下確界
下种	下種
下笔千言	下筆千言
下签	下籤
下签写	下簽寫
下签名	下簽名
下签字	下簽字
下签收	下簽收
下药	下藥
下表	下表
下课后	下課後
下课钟	下課鐘
下采	下采
下里	下里
下里巴人	下里巴人
下面	下面 下麪
下面请看	下面請看
下风方向	下風方向
下马杯	下馬杯
不一致	不一致
不一致字	不一致字
不上台盘	不上檯盤
不下于	不下於
不丑	不醜
不世出	不世出
不中于款	不中於款
不丰不杀	不豐不殺
不为牛后	不爲牛後
不为米折腰	不爲米折腰
不乐于	不樂於
不了	不了
不了之局	不了之局
不了了之	不了了之
不了了当	不了了當
不了情	不了情
不了汉	不了漢
不了解	不瞭解
不以词害志	不以詞害志
不以辞害志	不以辭害志
不体面	不體面
不作准	不作準
不侮暗室	不侮暗室
不修	不修
不修小节	不修小節
不修帷薄	不修帷薄
不修边幅	不修邊幅
不借	不借
不值当	不值當
不假外出	不假外出
不偏极	不偏極
不停当	不停當
不光彩	不光彩
不克	不克
不克制	不剋制
不克自制	不克自制
不全症	不全症
不再出版	不再出版
不准	不準 不准
不准他	不准他
不准你	不准你
不准备	不準備
不准她	不准她
不准它	不准它
不准我	不准我
不准没	不准沒
不准确	不準確
不准翻印	不准翻印
不准许	不准許
不准谁	不准誰
不准问	不准問
不减当年	不減當年
不出	不出
不出去	不出去
不出所料	不出所料
不出材	不出材
不出来	不出來
不分胜负	不分勝負
不分胜败	不分勝敗
不分青红皂白	不分青紅皁白
不切合实际	不切合實際
不划算	不划算
不利于	不利於
不前不后	不前不後
不加修饰	不加修飾
不加区别	不加區別
不加自制	不加自制
不劳无获	不勞無獲
不劳而获	不勞而獲
不升	不升
不升反降	不升反降
不单只是	不單只是
不卜可知	不卜可知
不占	不佔
不占凶吉	不占凶吉
不占卜	不占卜
不占吉凶	不占吉凶
不占算	不占算
不发心	不發心
不变价格	不變價格
不只	不只
不只是	不只是
不可以道里计	不可以道里計
不可同年而语	不可同年而語
不可同日	不可同日
不可同日而语	不可同日而語
不可向迩	不可向邇
不可当	不可當
不可战胜	不可戰勝
不可挽回	不可挽回
不可救药	不可救藥
不可胜书	不可勝書
不可胜原	不可勝原
不可胜数	不可勝數
不可胜纪	不可勝紀
不可胜言	不可勝言
不可胜计	不可勝計
不可胜记	不可勝記
不吃烟火食	不吃煙火食
不合	不合
不合体统	不合體統
不合作	不合作
不合作运动	不合作運動
不合式	不合式
不合时宜	不合時宜
不合标准	不合標準
不合格	不合格
不合法	不合法
不合理	不合理
不合算	不合算
不合群	不合羣
不合节	不合節
不合规定	不合規定
不合适	不合適
不合逻辑	不合邏輯
不吊	不弔
不同	不同
不同于	不同於
不同人	不同人
不同以往	不同以往
不同凡响	不同凡響
不同印本	不同印本
不同处	不同處
不同意	不同意
不同日月	不同日月
不同点	不同點
不同调	不同調
不向	不向
不告而别	不告而別
不周	不周
不周到	不周到
不周山	不周山
不周延	不周延
不周风	不周風
不善于	不善於
不图打点只图混水	不圖打點只圖混水
不在了	不在了
不堪回首	不堪回首
不复	不復
不复存在	不復存在
不外借	不外借
不多于	不多於
不多几日	不多幾日
不大合时	不大合時
不大精采	不大精采
不好了	不好了
不好干涉	不好干涉
不好干預	不好干預
不好干预	不好干預
不嫌母丑	不嫌母醜
不孕症	不孕症
不孝有三无后为大	不孝有三無後爲大
不学亡术	不學亡術
不学无术	不學無術
不安于位	不安於位
不安于室	不安於室
不完全叶	不完全葉
不寒而栗	不寒而慄
不对腔板	不對腔板
不小于	不小於
不少于	不少於
不尽	不盡
不尽年	不盡年
不尽心	不盡心
不尽木	不盡木
不尽根	不盡根
不尽然	不盡然
不尽相同	不盡相同
不尽道理	不盡道理
不屑于	不屑於
不属于	不屬於
不差毫厘	不差毫釐
不差毫发	不差毫髮
不干	不幹 不乾
不干不净	不乾不淨
不干不淨吃了没病	不乾不淨吃了沒病
不干了	不幹了
不干事	不幹事
不干他	不干他
不干休	不干休
不干你	不干你
不干净	不乾淨
不干她	不干她
不干它	不干它
不干己事	不干己事
不干性	不乾性
不干我	不干我
不干扰	不干擾
不干杯	不乾杯
不干涉	不干涉
不干涉主义	不干涉主義
不干渴	不乾渴
不干犯	不干犯
不干着急	不乾着急
不干胶	不乾膠
不干脆	不乾脆
不干裂	不乾裂
不干预	不干預
不并	不併
不幸	不幸
不幸之事	不幸之事
不幸之幸	不幸之幸
不幸受害	不幸受害
不幸的是	不幸的是
不当	不當
不当一回事	不當一回事
不当不对	不當不對
不当不正	不當不正
不当事	不當事
不当人	不當人
不当人化化	不當人化化
不当人子	不當人子
不当党	不當黨
不当党产	不當黨產
不当准	不當準
不当官	不當官
不当家	不當家
不当家化化	不當家化化
不当家花拉	不當家花拉
不当家花花	不當家花花
不当家豁拉	不當家豁拉
不当得利	不當得利
不当数	不當數
不当稳便	不當穩便
不当紧	不當緊
不当耍处	不當耍處
不当道	不當道
不形于色	不形於色
不彩	不彩
不徇颜面	不徇顏面
不得了	不得了
不得台盘	不得檯盤
不得志	不得志
不得闲	不得閒
不念	不念
不念旧恶	不念舊惡
不恶而严	不惡而嚴
不情不愿	不情不願
不情愿	不情願
不惮强御	不憚強禦
不愿	不願
不愿意	不願意
不成才	不成才
不战而胜	不戰而勝
不才	不才
不打不成才	不打不成才
不托	不託
不扣	不扣
不折	不折
不折不扣	不折不扣
不挂	不掛
不挂眼	不掛眼
不放松	不放鬆
不敢出声	不敢出聲
不敢出气	不敢出氣
不敢后人	不敢後人
不敢当	不敢當
不整合	不整合
不斗	不鬥
不断电系统	不斷電系統
不早了	不早了
不时之须	不時之須
不明就里	不明就裏
不明确	不明確
不是个儿	不是個兒
不是了处	不是了處
不是别人	不是別人
不松下	不鬆下
不极	不極
不极不反	不極不反
不染纤尘	不染纖塵
不标准	不標準
不欲	不欲
不欺暗室	不欺暗室
不止于此	不止於此
不正当	不正當
不正当关系	不正當關係
不正当竞争	不正當競爭
不正确	不正確
不死药	不死藥
不毒不发	不毒不發
不气干	不氣干
不求收获	不求收獲
不治之症	不治之症
不注意	不注意
不测风云	不測風雲
不涂	不塗
不消几日	不消幾日
不甘于	不甘於
不甘后人	不甘後人
不甚了了	不甚了了
不甚合意	不甚合意
不用干	不用幹
不用斗了	不用鬥了
不畏强御	不畏強禦
不畏彊御	不畏彊禦
不留情面	不留情面
不相同	不相同
不相干	不相干
不知凡几	不知凡幾
不知去向	不知去向
不知所云	不知所云
不确	不確
不确定	不確定
不确定性	不確定性
不确定性原理	不確定性原理
不确定感	不確定感
不确定故意	不確定故意
不确实	不確實
不符合	不符合
不等于	不等於
不等价交换	不等價交換
不管闲事	不管閒事
不系	不繫
不系舟	不繫舟
不约而合	不約而合
不约而同	不約而同
不织布	不織布
不结汇进口	不結匯進口
不绝于耳	不絕於耳
不老药	不老藥
不肯干休	不肯干休
不育症	不育症
不胜	不勝
不胜之态	不勝之態
不胜其扰	不勝其擾
不胜其烦	不勝其煩
不胜其苦	不勝其苦
不胜唏嘘	不勝唏噓
不胜感喟	不勝感喟
不胜感激	不勝感激
不胜春	不勝春
不胜枚举	不勝枚舉
不胜衣	不勝衣
不胜负荷	不勝負荷
不胜酒力	不勝酒力
不能出口	不能出口
不能尽数	不能盡數
不能胜数	不能勝數
不能自制	不能自制
不能赞一辞	不能贊一辭
不至于	不至於
不致	不致
不致于	不致於
不舍	不捨
不舍得	不捨得
不舍昼夜	不捨晝夜
不舒适	不舒適
不良于行	不良於行
不良倾向	不良傾向
不良才	不良才
不良适应	不良適應
不药而愈	不藥而癒
不药而癒	不藥而癒
不获	不獲
不落人后	不落人後
不虚发	不虛發
不行了	不行了
不表	不表
不见世面	不見世面
不见了	不見了
不见识面	不見識面
不见面	不見面
不规范	不規範
不解之仇	不解之仇
不讨采	不討采
不让须眉	不讓鬚眉
不讲情面	不講情面
不识局面	不識局面
不识闲	不識閒
不说价	不說價
不说出	不說出
不谈别的	不談別的
不谋而合	不謀而合
不谋而同	不謀而同
不谐当	不諧當
不谷	不穀
不负所托	不負所托
不赞	不讚
