㑮	𫝈
塒	埘
塗	涂
塚	冢
塢	坞
塤	埙
塵	尘
塹	堑
塿	𪣻
墊	垫
墜	坠
墮	堕
墰	坛
墲	𪢸
墳	坟
墶	垯
墻	墙
墾	垦
壇	坛
壈	𡒄
壋	垱
壎	埙
壓	压
壗	𡋤
壘	垒
壙	圹
壚	垆
壜	坛
壞	坏
壟	垄
壠	垅
壢	坜
壣	𪤚
壩	坝
壪	塆
壯	壮
壺	壶
壼	壸
壽	寿
夠	够
夢	梦
夥	伙
夸	夸
夾	夹
奐	奂
奧	奥
奩	奁
奪	夺
奬	奖
奮	奋
奸	奸
奼	姹
妝	妆
姍	姗
姜	姜
姦	奸
娘	娘
娛	娱
婁	娄
婡	𫝫
婦	妇
婭	娅
媈	𫝨
媧	娲
媯	妫
媰	㛀
媼	媪
媽	妈
嫋	袅
嫗	妪
嫵	妩
嫺	娴
嫻	娴
嫿	婳
嬀	妫
嬃	媭
嬇	𫝬
嬈	娆
嬋	婵
嬌	娇
嬙	嫱
嬡	嫒
嬣	𪥰
嬤	嬷
嬦	𫝩
嬪	嫔
嬰	婴
嬸	婶
嬻	𪥿
孃	娘
孄	𫝮
孆	𫝭
孇	𪥫
孋	㛤
孌	娈
孎	𡠟
孫	孙
學	学
孻	𡥧
孾	𪧀
孿	孪
宮	宫
家	家
寀	采
寠	𪧘
寢	寝
實	实
寧	宁
審	审
寫	写
寬	宽
寵	宠
寶	宝
將	将
專	专
尋	寻
對	对
導	导
尷	尴
尸	尸
局	局
屆	届
屍	尸
屓	屃
屜	屉
屢	屡
層	层
屨	屦
屩	𪨗
屬	属
岡	冈
岩	岩
峯	峰
峴	岘
島	岛
峽	峡
崍	崃
崑	昆
崗	岗
崙	仑 𪨧
崢	峥
崬	岽
嵐	岚
嵗	岁
嵼	𡶴
嵾	㟥
嶁	嵝
嶄	崭
嶇	岖
嶈	𡺃
嶔	嵚
嶗	崂
嶘	𡺄
嶠	峤
嶢	峣
嶧	峄
嶨	峃
嶮	崄
嶴	岙
嶸	嵘
嶹	𫝵
嶺	岭
嶼	屿
嶽	岳
巊	𪩎
巋	岿
巒	峦
巔	巅
巖	岩
巗	𪨷
巘	𪩘
巨	巨
巰	巯
巹	卺
布	布
帘	帘
帥	帅
師	师
席	席
帳	帐
帶	带
幀	帧
幃	帏
幓	㡎
幗	帼
幘	帻
幝	𪩷
幟	帜
幣	币
幩	𪩸
幫	帮
幬	帱
干	干
幸	幸
幹	干
幺	幺
幾	几
广	广
座	座
庫	库
庵	庵
廁	厕
廂	厢
廄	厩
廈	厦
廎	庼
廕	荫
廚	厨
廝	厮
廟	庙
廠	厂
廡	庑
廢	废
廣	广
廧	𪪞
廩	廪
廬	庐 𪪏
廳	厅
弒	弑
弔	吊
弦	弦
弳	弪
張	张
強	强
彃	𪪼
彆	别
彈	弹
彌	弥
彎	弯
彔	录
彙	汇
彞	彝
彠	彟
彥	彦
彩	彩
彫	雕
彲	彨
彷	彷 仿
彿	佛
征	征
後	后
徑	径
從	从
徠	徕
御	御
復	复
徵	征 徵
徹	彻
徿	𪫌
志	志
念	念
恆	恒
恥	耻
悅	悦
悞	悮
悵	怅
悶	闷
悽	凄
惡	恶
惱	恼
惲	恽
惻	恻
愈	愈
愛	爱
愜	惬
愨	悫
愴	怆
愷	恺
愻	𢙏
愾	忾
愿	愿
慄	栗
態	态
慍	愠
慘	惨
慚	惭
慟	恸
慣	惯
慤	悫
慪	怄
慫	怂
慮	虑
慳	悭
慶	庆
慺	㥪
慼	戚
慾	欲
憂	忧
憊	惫
憐	怜
憑	凭
憒	愦
憖	慭
憚	惮
憢	𢙒
憤	愤
憫	悯
憮	怃
憲	宪
憶	忆
憸	𪫺
憹	𢙐
懀	𢙓
懇	恳
應	应
懌	怿
懍	懔
懎	𢠁
懞	蒙
懟	怼
懣	懑
懤	㤽
懨	恹
懲	惩
懶	懒
懷	怀
懸	悬
懺	忏
懼	惧
懾	慑
戀	恋
戇	戆
戔	戋
戚	戚
戧	戗
戩	戬
戰	战 𢧐
戱	戯
戲	戏
戶	户
才	才
扎	扎
托	托
扣	扣
折	折
拋	抛
拐	拐
拚	拚
挂	挂
挨	挨
挩	捝
挱	挲
挽	挽
挾	挟
捨	舍
捫	扪
据	据
捱	挨
捲	卷
掃	扫
掄	抡
掆	㧏
掗	挜
掙	挣
掚	𪭵
掛	挂
採	采
揀	拣
揚	扬
換	换
揮	挥
揯	搄
損	损
搖	摇
搗	捣
搜	搜
搵	揾
搶	抢
摋	𢫬
摐	𪭢
摑	掴
摜	掼
摟	搂
摯	挚
摳	抠
摶	抟
摺	折
摻	掺
撈	捞
撊	𪭾
撏	挦
撐	撑
撓	挠
撝	㧑
撟	挢
撣	掸
撥	拨
撧	𪮖
撫	抚
撲	扑
撳	揿
撻	挞
撾	挝
撿	捡
擁	拥
擄	掳
擇	择
擊	击
擋	挡
擓	㧟
擔	担
據	据
擟	𪭧
擠	挤
擡	抬
擣	捣 𢭏
擫	𢬍
擬	拟
擯	摈
擰	拧
擱	搁
擲	掷
擴	扩
擷	撷
擺	摆
擻	擞
擼	撸
擽	㧰
擾	扰
攄	摅
攆	撵
攋	𪮶
攏	拢
攔	拦
攖	撄
攙	搀
攛	撺
攜	携
攝	摄
攢	攒
攣	挛
攤	摊
攪	搅
攬	揽
敎	教
敓	敚
敗	败
敘	叙
敵	敌
數	数
斂	敛
斃	毙
斅	𢽾
斆	敩
斕	斓
斗	斗
斬	斩
斷	断
斸	𣃁
於	于 於
旂	旗
旣	既
昆	昆
昇	升
時	时
晉	晋
晝	昼
暈	晕
暉	晖
暗	暗
暘	旸
暢	畅
暫	暂
曄	晔
曆	历
曇	昙
曉	晓
曊	𪰶
曏	向
曖	暧
曠	旷
曥	𣆐
曨	昽
曬	晒
曲	曲
書	书
會	会
朥	𦛨
朧	胧
朮	术
朱	朱
朴	朴
杆	杆
杠	杠
杯	杯
杰	杰
東	东
杴	锨
松	松
板	板
极	极
枴	拐
柜	柜
柵	栅
柺	拐
査	查
栗	栗
核	核
桱	𣐕
桿	杆
梁	梁
梔	栀
梖	𪱷
梘	枧
條	条
梟	枭
梲	棁
棄	弃
棊	棋
棖	枨
棗	枣
棟	栋
棡	㭎
棧	栈
棱	棱
棲	栖
棶	梾
椏	桠
椲	㭏
楇	𣒌
楊	杨
楓	枫
楨	桢
業	业
極	极
榘	矩
榦	干
榪	杩
榮	荣
榲	榅
榿	桤
構	构
槍	枪
槓	杠
槤	梿
槧	椠
槨	椁
槫	𣏢
槮	椮
槳	桨
槶	椢
槼	椝
樁	桩
樂	乐
樅	枞
樑	梁
樓	楼
標	标
樞	枢
樠	𣗊
樢	㭤
樣	样
樤	𣔌
樧	榝
樫	㭴
樳	桪
樸	朴
樹	树
樺	桦
樿	椫
橈	桡
橋	桥
機	机
橢	椭
橫	横
橯	𣓿
檁	檩
檉	柽
檔	档
檜	桧
檟	槚
檢	检
檣	樯
檭	𣘴
檮	梼
檯	台
檳	槟
檵	𪲛
檸	柠
檻	槛
檾	𦼖
櫃	柜
櫅	𪲎
櫓	橹
櫚	榈
櫛	栉
櫝	椟
櫞	橼
櫟	栎
櫠	𪲮
櫥	橱
櫧	槠
櫨	栌
櫪	枥
櫫	橥
櫬	榇
櫱	蘖
櫳	栊
櫸	榉
櫺	棂
櫻	樱
欄	栏
欅	榉
欇	𪳍
權	权
欍	𣐤
欏	椤
欐	𪲔
欑	𪴙
欒	栾
欓	𣗋
欖	榄
欘	𣚚
欞	棂
欲	欲
欽	钦
歎	叹
歐	欧
歟	欤
歡	欢
歲	岁
歷	历
歸	归
歿	殁
殘	残
殞	殒
殢	𣨼
殤	殇
殨	㱮
殫	殚
殭	僵
殮	殓
殯	殡
殰	㱩
殲	歼
殺	杀
殻	壳
殼	壳
毀	毁
毆	殴
毊	𪵑
毿	毵
氂	牦
氈	毡
氌	氇
氣	气
氫	氢
氬	氩
氭	𣱝
氳	氲
氾	泛
汎	泛
汙	污
決	决
沈	沈 沉
沒	没
沖	冲
況	况
泛	泛
泝	溯
注	注
洩	泄
洶	汹
浹	浃
涂	涂
涇	泾
涌	涌
涗	涚
涼	凉
淀	淀
淒	凄
淚	泪
淥	渌
淨	净
淩	凌
淪	沦
淵	渊
淶	涞
淺	浅
渙	涣
減	减
渢	沨
渦	涡
測	测
游	游
渾	浑
湊	凑
湋	𣲗
湞	浈
湧	涌
湯	汤
溈	沩
準
